name	chrom	strand	txStart	txEnd
ENSG00000005020	7	-	26706681	26904362
ENSG00000005022	X	+	118602363	118605282
ENSG00000005059	4	+	110481361	110609874
ENSG00000005073	7	-	27221134	27224835
ENSG00000005075	7	-	102113565	102119354
ENSG00000005100	17	-	5344232	5372380
ENSG00000005102	17	-	41717756	41739322
ENSG00000005108	7	-	11409984	11871824
ENSG00000005156	17	+	33307513	33332083
ENSG00000005175	12	-	48057070	48099844
ENSG00000005187	16	+	20775024	20808903
ENSG00000005189	16	+	20817821	20860987
ENSG00000005194	16	-	57462081	57481440
ENSG00000005238	9	-	35104120	35111571
ENSG00000005243	17	-	46103535	46115139
ENSG00000005249	7	+	106685094	106802256
ENSG00000005302	X	+	11776278	11793870
ENSG00000005339	16	-	3775055	3930727
ENSG00000005379	17	-	56379632	56405445
ENSG00000005381	17	-	56347217	56358296
ENSG00000005421	7	-	94926988	94954019
ENSG00000005436	2	-	75889832	75938115
ENSG00000005448	2	+	74648857	74652882
ENSG00000005469	7	+	86974997	87028797
ENSG00000005471	7	-	87031365	87105055
ENSG00000005483	7	+	104654626	104754532
ENSG00000005486	7	+	75508266	75518239
ENSG00000005513	16	+	1031808	1036979
ENSG00000005700	6	-	82879700	82957471
ENSG00000005801	11	-	3379996	3400397
ENSG00000005810	13	-	77618792	77900814
ENSG00000005812	13	-	77579389	77601285
ENSG00000005844	16	+	30483979	30534506
ENSG00000005882	17	+	48172639	48189516
ENSG00000005884	17	+	48133804	48167093
ENSG00000005889	X	+	24167862	24234206
ENSG00000005893	X	-	119561682	119603220
ENSG00000005955	17	+	34900737	34946278
ENSG00000005961	17	-	42449551	42466873
ENSG00000005981	7	+	95115213	95169544
ENSG00000006007	16	-	19513015	19533467
ENSG00000006015	19	+	18699535	18703146
ENSG00000006016	19	-	18704047	18717660
ENSG00000006025	17	-	45884738	45899136
ENSG00000006042	17	+	31254955	31271333
ENSG00000006047	17	-	7191571	7197883
ENSG00000006059	17	-	39502344	39507064
ENSG00000006071	11	-	17414432	17498392
ENSG00000006074	17	+	34391640	34399392
ENSG00000006075	17	-	34415602	34417487
ENSG00000006114	17	-	35874900	35969544
ENSG00000006116	16	+	24266874	24374122
ENSG00000006118	11	+	60691953	60704631
ENSG00000006125	17	+	33914341	34051394
ENSG00000006128	7	+	97361220	97369784
ENSG00000006194	16	+	3332943	3341460
ENSG00000006210	16	+	57406370	57418960
ENSG00000006282	17	+	48624450	48633213
ENSG00000006283	17	+	48638821	48704626
ENSG00000006327	16	+	3070313	3072384
ENSG00000006377	7	+	96634860	96640351
ENSG00000006432	14	-	71196368	71276251
ENSG00000006451	7	+	39663082	39747723
ENSG00000006453	7	-	97920963	98030380
ENSG00000006459	7	-	139784546	139876835
ENSG00000006468	7	-	13930853	14029571
ENSG00000006530	7	+	141250989	141355044
ENSG00000006534	11	+	67776048	67796741
ENSG00000006555	1	-	55245385	55266940
ENSG00000006576	7	+	77469447	77586818
ENSG00000006606	7	-	75398851	75419214
ENSG00000006607	2	+	242295658	242434256
ENSG00000006611	11	-	17515879	17565854
ENSG00000006625	7	-	30536237	30544460
ENSG00000006634	7	+	87505544	87538856
ENSG00000006638	19	-	3594778	3606658
ENSG00000006652	7	+	112090483	112116247
ENSG00000006659	19	+	40195121	40199953
ENSG00000006695	17	+	13972846	14111994
ENSG00000006704	7	+	73868300	74016931
ENSG00000006712	19	-	39876492	39881835
ENSG00000006715	7	-	38762563	38948829
ENSG00000006740	17	+	12692856	12894959
ENSG00000006744	17	-	12895708	12921504
ENSG00000006747	7	+	12610312	12693228
ENSG00000006756	X	-	2822011	2847392
ENSG00000006757	X	-	7866288	7895484
ENSG00000006788	17	-	10201401	10276447
ENSG00000006831	12	+	1800193	1897844
ENSG00000006837	5	-	133634113	133702765
ENSG00000007001	2	+	158733214	158992666
ENSG00000007038	16	+	2867228	2871720
ENSG00000007047	19	+	45754516	45806951
ENSG00000007062	4	-	15969857	16085324
ENSG00000007080	19	+	18045905	18054800
ENSG00000007129	19	+	42082601	42092916
ENSG00000007168	17	+	2497040	2588909
ENSG00000007171	17	-	26083792	26127525
ENSG00000007174	17	+	11501748	11873065
ENSG00000007202	17	-	26941458	26972149
ENSG00000007216	17	+	26800311	26824796
ENSG00000007237	17	-	9817167	10101868
ENSG00000007255	19	-	45666186	45681495
ENSG00000007264	19	-	3777973	3801810
ENSG00000007306	19	-	42177235	42192296
ENSG00000007312	17	-	62006100	62009696
ENSG00000007314	17	-	62015914	62050278
ENSG00000007341	1	-	113066140	113162040
ENSG00000007350	X	+	153524024	153558700
ENSG00000007372	11	-	31806340	31839509
ENSG00000007376	16	-	834974	837981
ENSG00000007384	16	-	108058	122629
ENSG00000007392	16	-	238968	279449
ENSG00000007402	3	-	50402097	50540854
ENSG00000007516	16	+	1384505	1399439
ENSG00000007520	16	-	1399241	1401912
ENSG00000007541	16	+	620018	634109
ENSG00000007545	16	+	1662326	1727909
ENSG00000007866	6	-	35441374	35464853
ENSG00000007908	1	-	169691782	169703203
ENSG00000007923	1	-	6694228	6761984
ENSG00000007933	1	+	171060018	171086959
ENSG00000007944	6	+	16129356	16147112
ENSG00000007952	X	-	100098313	100129334
ENSG00000007968	1	-	23832922	23857712
ENSG00000008018	6	-	170844205	170862429
ENSG00000008056	X	-	47431303	47479252
ENSG00000008083	6	+	15246527	15522252
ENSG00000008086	X	+	18460308	18671745
ENSG00000008118	1	+	209757062	209787283
ENSG00000008128	1	-	1634320	1655763
ENSG00000008130	1	-	1682678	1709909
ENSG00000008196	6	+	50786436	50815326
ENSG00000008197	6	+	50681541	50740701
ENSG00000008226	3	+	38080696	38165040
ENSG00000008256	7	-	6201407	6312275
ENSG00000008277	7	+	87563702	87825897
ENSG00000008282	7	-	105730951	105753022
ENSG00000008283	17	-	61509668	61523545
ENSG00000008294	17	-	49039535	49198226
ENSG00000008300	3	-	48673902	48700348
ENSG00000008311	7	-	121716187	121773876
ENSG00000008323	12	+	6420099	6437671
ENSG00000008324	3	+	42623332	42636606
ENSG00000008382	19	+	4343524	4360083
ENSG00000008394	12	+	16500712	16517343
ENSG00000008405	12	-	107385142	107487607
ENSG00000008438	19	-	46522411	46526323
ENSG00000008441	19	+	13106422	13207015
ENSG00000008513	8	-	134467091	134584183
ENSG00000008516	16	+	3096682	3110727
ENSG00000008517	16	+	3115385	3119729
ENSG00000008710	16	-	2138711	2185899
ENSG00000008735	22	+	51039131	51049976
ENSG00000008838	17	-	38175355	38210658
ENSG00000008853	8	+	22844930	22875954
ENSG00000008869	2	-	37208040	37311485
ENSG00000008952	3	+	169684553	169716161
ENSG00000008988	8	-	56979854	56987068
ENSG00000009307	1	-	115259537	115292811
ENSG00000009335	7	+	156931607	157062066
ENSG00000009413	6	-	111620278	111804915
ENSG00000009694	X	-	123509758	124097666
ENSG00000009709	1	+	18957500	19062632
ENSG00000009724	1	-	11086580	11107280
ENSG00000009765	6	+	150690028	150725764
ENSG00000009780	1	+	28052568	28087092
ENSG00000009790	1	+	209931843	209955652
ENSG00000009830	14	-	77741299	77787227
ENSG00000009844	6	+	142468367	142545826
ENSG00000009950	7	-	73007524	73038870
ENSG00000009954	7	-	72854728	72936602
ENSG00000010017	6	-	13621730	13711796
ENSG00000010030	6	-	36333971	36355560
ENSG00000010072	1	+	231473794	231490769
ENSG00000010165	1	+	171750842	171766857
ENSG00000010219	12	+	4699244	4723217
ENSG00000010244	17	+	30677136	30708905
ENSG00000010256	3	-	48636436	48647470
ENSG00000010270	7	+	38217824	38270272
ENSG00000010278	12	+	6308881	6347425
ENSG00000010282	3	-	42734155	42744319
ENSG00000010292	12	+	6602545	6641121
ENSG00000010295	12	-	6648705	6665239
ENSG00000010310	19	+	46171502	46186982
ENSG00000010318	3	+	52444673	52457657
ENSG00000010319	3	-	52467069	52479043
ENSG00000010322	3	+	52489524	52527087
ENSG00000010327	3	+	52529354	52558511
ENSG00000010361	19	-	50310154	50316527
ENSG00000010379	12	-	329791	372002
ENSG00000010404	X	-	148558521	148586877
ENSG00000010438	9	+	33750515	33799229
ENSG00000010539	16	-	3272345	3285167
ENSG00000010610	12	+	6898638	6929974
ENSG00000010626	12	+	7013897	7023407
ENSG00000010671	X	-	100604438	100641183
ENSG00000010704	6	+	26087547	26098571
ENSG00000010803	1	-	41492872	41627104
ENSG00000010810	6	-	111981535	112194655
ENSG00000010818	6	-	143072605	143266338
ENSG00000010932	1	+	171227096	171255113
ENSG00000011007	1	+	24069645	24088549
ENSG00000011009	1	+	24117460	24122029
ENSG00000011021	1	+	11866268	11903201
ENSG00000011028	17	+	60704762	60770958
ENSG00000011052	17	+	49230951	49249105
ENSG00000011083	5	+	149569520	149590635
ENSG00000011105	12	+	3186543	3395724
ENSG00000011114	14	-	93703896	93799367
ENSG00000011132	19	-	3750878	3761697
ENSG00000011143	17	-	56282803	56296666
ENSG00000011198	3	+	43732362	43760541
ENSG00000011201	X	-	8496915	8700227
ENSG00000011243	19	-	15490859	15529865
ENSG00000011258	17	-	49254786	49337427
ENSG00000011260	17	+	49337889	49375294
ENSG00000011275	7	-	5662238	5821370
ENSG00000011295	17	+	15902694	15932226
ENSG00000011304	19	+	797075	812320
ENSG00000011332	19	-	38702343	38714890
ENSG00000011347	11	-	61285529	61348298
ENSG00000011376	3	+	45430053	45590913
ENSG00000011405	11	-	17108119	17191288
ENSG00000011422	19	-	44152732	44174502
ENSG00000011426	7	+	36429415	36493400
ENSG00000011451	19	-	15532334	15560762
ENSG00000011454	9	+	125703288	125867145
ENSG00000011465	12	-	91539025	91576900
ENSG00000011478	19	+	46195741	46207247
ENSG00000011485	19	+	46850251	46894109
ENSG00000011523	2	+	65283506	65314138
ENSG00000011566	2	-	39476407	39664453
ENSG00000011590	19	+	36195429	36207940
ENSG00000011600	19	-	36395312	36399197
ENSG00000011638	16	+	21169698	21191937
ENSG00000011677	X	-	151334706	151619830
ENSG00000012048	17	-	41197646	41277500
ENSG00000012061	19	-	45916692	45926824
ENSG00000012124	19	+	35820090	35838258
ENSG00000012174	X	+	21857754	21903542
ENSG00000012211	X	-	49031151	49042845
ENSG00000012223	3	-	46477136	46506653
ENSG00000012232	8	+	28558844	28611204
ENSG00000012504	12	+	100897138	100957267
ENSG00000012660	6	-	53133557	53213748
ENSG00000012779	10	+	45869675	45941561
ENSG00000012817	Y	-	21867301	21906809
ENSG00000012822	12	-	54105574	54121224
ENSG00000012963	14	+	93673401	93695561
ENSG00000012983	14	-	50885243	50999327
ENSG00000013016	2	+	31457203	31492313
ENSG00000013275	19	+	40476912	40487348
ENSG00000013288	4	+	6576902	6625089
ENSG00000013293	3	-	170177372	170303863
ENSG00000013297	3	+	170136653	170151887
ENSG00000013306	17	-	42397004	42402183
ENSG00000013364	16	+	29831729	29859355
ENSG00000013374	7	+	151038797	151075535
ENSG00000013375	6	-	83878842	83903633
ENSG00000013392	6	+	83903098	83908651
ENSG00000013441	2	-	201717919	201729284
ENSG00000013503	12	+	106751436	106903976
ENSG00000013523	14	-	77253588	77279283
ENSG00000013561	5	+	141348604	141369856
ENSG00000013563	X	-	153629579	153640427
ENSG00000013573	12	+	31226779	31257725
ENSG00000013583	12	-	13127798	13153207
ENSG00000013588	12	+	13043716	13070871
ENSG00000013619	X	+	149531686	149681395
ENSG00000013725	11	+	60739152	60787849
ENSG00000013810	4	+	1723266	1746898
ENSG00000014123	6	+	96969684	97003152
ENSG00000014138	11	+	65029233	65066156
ENSG00000014164	8	-	144519825	144623623
ENSG00000014216	11	+	64949933	64979458
ENSG00000014257	3	+	132036251	132087142
ENSG00000014641	2	+	63816367	63834307
ENSG00000014824	4	+	41992489	42092474
ENSG00000014914	1	-	149900546	149908791
ENSG00000014919	10	-	101473272	101491857
ENSG00000015133	14	-	91737669	91884121
ENSG00000015153	12	-	42552836	42632038
ENSG00000015171	10	+	180424	300566
ENSG00000015285	X	+	48542168	48549818
ENSG00000015413	16	+	89687000	89704837
ENSG00000015475	22	-	18216906	18256782
ENSG00000015479	5	+	138629337	138667048
ENSG00000015520	7	-	44552134	44580914
ENSG00000015532	17	+	48423453	48438512
ENSG00000015568	2	+	110551885	110615270
ENSG00000015592	8	-	27092840	27115903
ENSG00000015676	7	-	44418720	44530479
ENSG00000016082	5	+	50678921	50690564
ENSG00000016391	3	-	53846362	53880417
ENSG00000016402	6	-	137321108	137366101
ENSG00000016490	1	+	86934051	86965942
ENSG00000016602	1	+	87012761	87046437
ENSG00000016864	3	-	52728508	52740048
ENSG00000017260	3	+	130569450	130735400
ENSG00000017373	17	-	36686251	36762183
ENSG00000017427	12	-	102811269	102874341
ENSG00000017483	X	-	48316920	48328565
ENSG00000017621	X	+	49019228	49022971
ENSG00000017797	18	+	9475007	9538112
ENSG00000018189	4	+	71587712	71673032
ENSG00000018236	12	+	41086354	41466220
ENSG00000018280	2	+	219246752	219261617
ENSG00000018408	3	-	149235022	149421060
ENSG00000018510	2	+	178257372	178408564
ENSG00000018610	X	-	118672112	118699397
ENSG00000018625	1	+	160085563	160113381
ENSG00000018699	2	+	32853129	33046118
ENSG00000018869	19	-	56894121	56904889
ENSG00000019102	11	-	124617368	124622134
ENSG00000019144	11	+	118477155	118528741
ENSG00000019169	2	+	119699742	119752236
ENSG00000019186	20	-	52769988	52790512
ENSG00000019485	11	+	45168894	45246638
ENSG00000019505	11	-	45261852	45307870
ENSG00000019549	8	-	49830327	49834299
ENSG00000019582	5	-	149781715	149792314
ENSG00000019991	7	-	81328322	81399514
ENSG00000019995	10	+	126630692	126676758
ENSG00000020129	1	+	36023409	36032374
ENSG00000020181	8	+	37654774	37701494
ENSG00000020256	20	-	50767817	50808525
ENSG00000020426	14	+	61201480	61436671
ENSG00000020577	14	+	55034635	55260033
ENSG00000020633	1	-	25226002	25291501
ENSG00000020922	11	-	94152895	94227074
ENSG00000021300	11	+	73357223	73373864
ENSG00000021355	6	-	2832566	2842240
ENSG00000021461	7	+	99425739	99463624
ENSG00000021488	19	-	33321421	33360672
ENSG00000021574	2	+	32288776	32382706
ENSG00000021645	14	+	78870093	80328786
ENSG00000021762	11	-	3108346	3186584
ENSG00000021776	15	-	35147732	35262040
ENSG00000021826	2	+	211342433	211543831
ENSG00000021852	1	-	57394883	57431688
ENSG00000022267	X	+	135229559	135293518
ENSG00000022277	20	+	55043647	55093943
ENSG00000022355	5	+	161274685	161326975
ENSG00000022556	19	+	55476620	55512510
ENSG00000022567	8	-	142220700	142238673
ENSG00000022840	12	+	120972154	121015397
ENSG00000022976	14	+	102786088	102808704
ENSG00000023041	10	-	114190058	114206672
ENSG00000023171	11	+	123396530	123498482
ENSG00000023191	11	-	494512	503570
ENSG00000023228	2	-	206988823	207023918
ENSG00000023287	8	-	53535016	53626992
ENSG00000023318	9	-	102741461	102861322
ENSG00000023330	3	+	52232110	52248343
ENSG00000023445	11	+	102188226	102208465
ENSG00000023516	13	+	42846289	42897396
ENSG00000023572	1	-	193065598	193075244
ENSG00000023608	14	+	62229075	62263146
ENSG00000023697	12	+	16064106	16190220
ENSG00000023734	12	+	16035329	16056412
ENSG00000023839	10	+	101542489	101611949
ENSG00000023892	6	+	35265629	35289548
ENSG00000023902	1	+	150122170	150132260
ENSG00000023909	1	-	94350761	94374966
ENSG00000024048	6	+	42531800	42661242
ENSG00000024422	19	+	48216600	48246391
ENSG00000024526	1	-	68939835	68962797
ENSG00000024862	6	+	139094657	139114456
ENSG00000025039	6	-	90074355	90121989
ENSG00000025156	6	+	122720691	122754111
ENSG00000025293	20	+	34359905	34538303
ENSG00000025423	12	+	57146233	57181574
ENSG00000025434	11	+	47279530	47290396
ENSG00000025708	22	-	50964181	50968444
ENSG00000025770	22	+	50946689	50961901
ENSG00000025772	20	-	43570771	43589127
ENSG00000025796	6	-	108188960	108279393
ENSG00000025800	1	+	32573639	32642169
ENSG00000026025	10	+	17270258	17279584
ENSG00000026103	10	+	90750414	90775542
ENSG00000026297	6	-	167342992	167370190
ENSG00000026508	11	+	35160728	35251574
ENSG00000026559	20	-	49620193	49639666
ENSG00000026652	6	-	161551057	161695093
ENSG00000026751	1	+	160709055	160724611
ENSG00000026950	6	+	26402465	26415444
ENSG00000027001	13	-	24304328	24463558
ENSG00000027075	14	+	61788435	62017694
ENSG00000027644	1	-	156809855	156828810
ENSG00000027697	6	-	137518621	137540586
ENSG00000027847	5	+	177027101	177037348
ENSG00000027869	1	-	156776036	156786640
ENSG00000028116	2	+	58134786	58387002
ENSG00000028137	1	+	12227060	12269285
ENSG00000028203	12	+	95611522	95696566
ENSG00000028277	19	-	42595232	42636579
ENSG00000028310	5	-	864388	892939
ENSG00000028528	15	+	64388192	64432074
ENSG00000028839	6	+	134274333	134311570
ENSG00000029153	12	+	27485988	27573827
ENSG00000029363	6	-	136578001	136610989
ENSG00000029364	14	+	69865409	69927268
ENSG00000029534	8	-	41512843	41754280
ENSG00000029559	4	+	88720733	88733074
ENSG00000029639	6	-	155578643	155635618
ENSG00000029725	17	+	5185558	5289129
ENSG00000029993	X	+	150151759	150159248
ENSG00000030066	11	-	47799639	47870019
ENSG00000030110	6	-	33540329	33548019
ENSG00000030304	9	+	113431051	113563278
ENSG00000030419	2	-	213864429	214015058
ENSG00000030582	17	+	42422648	42430470
ENSG00000031003	5	-	137273649	137368720
ENSG00000031081	3	+	119013220	119139561
ENSG00000031691	6	+	49431091	49460820
ENSG00000031698	1	+	109756540	109780742
ENSG00000031823	19	-	5916150	5978151
ENSG00000032219	14	+	58765103	58840451
ENSG00000032389	2	-	3192696	3381653
ENSG00000032444	19	+	7599636	7626647
ENSG00000032742	13	+	21141277	21265503
ENSG00000033011	16	+	5121820	5135395
ENSG00000033030	12	-	122957437	122985518
ENSG00000033050	7	-	150904923	150924252
ENSG00000033100	7	+	150929585	150935908
ENSG00000033122	1	+	70225858	70587926
ENSG00000033170	14	+	65877310	66210839
ENSG00000033178	4	-	68478370	68566897
ENSG00000033327	11	-	77926343	78128852
ENSG00000033627	17	+	40610898	40674600
ENSG00000033800	15	+	68346517	68480402
ENSG00000033867	3	-	27414214	27498245
ENSG00000034053	15	+	29131120	29410518
ENSG00000034152	17	+	21187984	21218552
ENSG00000034239	8	-	49635967	49647791
ENSG00000034510	2	+	85132749	85133795
ENSG00000034533	3	-	130732719	130745646
ENSG00000034677	8	-	101269288	101315487
ENSG00000034693	6	+	143772117	143811147
ENSG00000034713	16	+	75600249	75611779
ENSG00000034971	1	-	171604557	171621823
ENSG00000035115	2	-	218158	264065
ENSG00000035141	2	-	70523107	70529222
ENSG00000035403	10	+	75757872	75879910
ENSG00000035499	5	-	59892739	59995988
ENSG00000035664	15	-	64199235	64332466
ENSG00000035681	8	-	59496329	59572093
ENSG00000035687	1	-	244571796	244615436
ENSG00000035720	4	+	68424446	68472616
ENSG00000035862	17	-	76849059	76921469
ENSG00000035928	4	-	39289076	39367995
ENSG00000036054	3	+	99979856	100044082
ENSG00000036257	2	-	225334867	225450065
ENSG00000036448	8	+	1993155	2093380
ENSG00000036473	X	+	38211798	38280703
ENSG00000036530	14	+	100150651	100193638
ENSG00000036549	1	-	78030185	78148343
ENSG00000036565	8	-	20002367	20040717
ENSG00000036672	11	-	119225926	119252436
ENSG00000036828	3	+	121903181	122005342
ENSG00000037042	17	+	40811323	40819024
ENSG00000037241	5	+	172385896	172396724
ENSG00000037280	5	-	180028506	180076624
ENSG00000037474	5	-	6599352	6633404
ENSG00000037637	1	-	16573334	16678949
ENSG00000037749	5	+	153418519	153437014
ENSG00000037757	19	+	13875363	13883680
ENSG00000037897	12	-	58162254	58166576
ENSG00000037965	12	+	54402832	54407570
ENSG00000038002	4	-	178351924	178363657
ENSG00000038210	4	+	25235597	25280714
ENSG00000038219	4	-	13570362	13629347
ENSG00000038274	5	+	162932554	162946328
ENSG00000038295	4	+	166794410	167025047
ENSG00000038358	16	+	67906926	67918406
ENSG00000038382	5	+	14143811	14510313
ENSG00000038427	5	+	82767284	82878122
ENSG00000038532	16	+	11038345	11276046
ENSG00000038945	8	-	15966940	16050224
ENSG00000039068	16	+	68771128	68869451
ENSG00000039123	5	+	54603588	54721409
ENSG00000039139	5	-	13690440	13944652
ENSG00000039319	5	+	79703832	79775169
ENSG00000039523	16	+	67563630	67580540
ENSG00000039537	5	-	41142336	41261540
ENSG00000039560	5	+	34684659	34830912
ENSG00000039600	5	-	157052687	157079428
ENSG00000039650	19	-	50364461	50370822
ENSG00000039987	19	+	12862516	12869220
ENSG00000040199	16	-	71678827	71758604
ENSG00000040275	5	+	169010638	169031782
ENSG00000040341	8	-	74332606	74659172
ENSG00000040487	1	+	19638822	19655774
ENSG00000040531	17	+	3539773	3564836
ENSG00000040608	22	-	20228938	20256054
ENSG00000040633	17	-	7138347	7142825
ENSG00000040731	5	-	24487209	24645087
ENSG00000040933	2	+	99061321	99207496
ENSG00000041353	18	+	52495430	52562747
ENSG00000041357	15	+	78832755	78841604
ENSG00000041515	13	+	109248500	109860355
ENSG00000041802	3	-	194361517	194393206
ENSG00000041880	3	+	51976375	51982878
ENSG00000041982	9	-	117782813	117880536
ENSG00000041988	1	+	6684926	6693625
ENSG00000042062	20	-	49202645	49308065
ENSG00000042088	14	+	90422295	90511106
ENSG00000042286	10	-	71872030	71892690
ENSG00000042304	2	-	228474806	228497888
ENSG00000042317	14	+	88851874	88904800
ENSG00000042429	11	+	93517393	93547861
ENSG00000042445	2	-	85569211	85581743
ENSG00000042493	2	-	85621871	85637676
ENSG00000042753	19	-	47341424	47354249
ENSG00000042781	1	-	215796236	216596738
ENSG00000042813	7	-	49977037	50132860
ENSG00000042832	8	+	133879206	134147141
ENSG00000042980	8	+	24151553	24216531
ENSG00000043039	11	+	129245835	129322171
ENSG00000043093	3	-	182655862	182698431
ENSG00000043143	5	+	133861798	133918918
ENSG00000043355	13	+	100634026	100639018
ENSG00000043462	5	-	169673241	169725231
ENSG00000043514	1	-	40306723	40349178
ENSG00000043591	10	+	115803806	115806667
ENSG00000044012	1	+	42619092	42621495
ENSG00000044090	6	-	43005358	43021683
ENSG00000044115	5	+	138089112	138270723
ENSG00000044446	X	-	18910418	19002716
ENSG00000044459	9	+	17134980	17503921
ENSG00000044524	3	+	89156674	89531284
ENSG00000044574	9	-	127997132	128003609
ENSG00000046604	18	+	29078006	29128971
ENSG00000046647	X	-	14026398	14048011
ENSG00000046651	X	+	13752864	13787472
ENSG00000046653	X	-	13789150	13835461
ENSG00000046774	X	-	141290131	141293076
ENSG00000046889	8	+	68864353	69149265
ENSG00000047056	10	+	1095478	1178237
ENSG00000047188	5	+	112849380	112930981
ENSG00000047230	X	-	16606126	16730340
ENSG00000047249	8	-	54628233	54755822
ENSG00000047315	4	+	57843908	57897324
ENSG00000047346	15	-	52873518	52970820
ENSG00000047365	4	-	36067620	36246131
ENSG00000047410	1	-	186280784	186344457
ENSG00000047457	3	-	148890286	148939842
ENSG00000047578	16	+	27561473	27791690
ENSG00000047579	6	-	15523032	15663273
ENSG00000047597	X	+	37545012	37591383
ENSG00000047617	12	-	5671817	6055398
ENSG00000047621	12	-	4596894	4647637
ENSG00000047634	X	+	17755589	17772191
ENSG00000047644	X	+	9983602	10112518
ENSG00000047648	X	-	11155664	11683821
ENSG00000047662	4	-	17630929	17783135
ENSG00000047849	3	-	47893358	48130762
ENSG00000047932	6	-	117881432	117923527
ENSG00000047936	6	-	117609463	117747018
ENSG00000048028	11	-	113668596	113746292
ENSG00000048052	7	+	18535926	19035685
ENSG00000048140	5	+	176074388	176086021
ENSG00000048162	5	-	175810949	175815763
ENSG00000048342	4	+	15471489	15603180
ENSG00000048392	8	-	103216730	103251346
ENSG00000048405	7	-	127010097	127032745
ENSG00000048462	16	+	12058964	12061925
ENSG00000048471	16	+	12070595	12668146
ENSG00000048540	12	-	16703979	16760084
ENSG00000048544	6	-	42174539	42185603
ENSG00000048545	6	+	42123184	42147792
ENSG00000048649	11	-	77371041	77532063
ENSG00000048707	1	+	12290124	12572099
ENSG00000048740	10	+	11059893	11378666
ENSG00000048828	9	+	96214004	96328389
ENSG00000048991	2	+	136289083	136482840
ENSG00000049089	1	-	40766159	40782966
ENSG00000049130	12	-	88890359	88974238
ENSG00000049167	5	-	60169659	60240878
ENSG00000049192	5	-	64444563	64777747
ENSG00000049239	1	+	9294834	9331396
ENSG00000049245	1	+	7831329	7841492
ENSG00000049246	1	+	7844763	7905237
ENSG00000049247	1	-	7907826	7913491
ENSG00000049249	1	-	7979907	8000926
ENSG00000049283	17	+	48609904	48621111
ENSG00000049323	2	+	33172039	33624426
ENSG00000049449	11	+	32112450	32127301
ENSG00000049540	7	+	73442119	73484237
ENSG00000049541	7	-	73645867	73668774
ENSG00000049618	6	+	157099063	157531913
